Original,Predict,Score
!,!,1.1553962515383127
!,"""",1.193699095571306
!,(,1.1019270283787224
!,),1.1415412851232583
!,",",1.0779095367262153
!,.,1.0529027573768575
!,:,1.1875529215379208
!,;,1.0570065621325953
!,?,1.076654072131418
!,[,1.1240227494271084
!,],1.0798865029186402
!,§,1.1139390423029603
!,«,1.1064322197566985
!,»,1.1239808673206437
!,¬,1.1242356205759743
!,~,1.1276052510150738
!,!,1.3688739176730618
!,"""",1.3564261227829644
!,(,1.3620267463641662
!,),1.335971116310385
!,",",1.3768222796258225
!,.,1.370630579470136
!,:,1.3614304184369885
!,;,1.3786990852215348
!,?,1.3501311507792868
!,[,1.376449929848624
!,],1.3864748144868266
!,§,1.3624546088969194
!,«,1.37559551120252
!,»,1.374354421617659
!,¬,1.3595593362061298
!,~,1.253237183944684
!,!,1.154015496360967
!,"""",1.1695357466193177
!,(,1.150398387704799
!,),1.1500790660518945
!,",",1.1499879887221411
!,.,1.1540554169243025
!,:,1.1519605184044295
!,;,1.161928893241099
!,?,1.1489374420699583
!,[,1.1574233868431096
!,],1.1310431449991996
!,§,1.1552839972946447
!,«,1.1443583054950972
!,»,1.1591578235466338
!,¬,1.170080903680937
!,~,1.1107246242804174
!,!,1.0398818538603334
!,"""",1.1942856883475328
!,(,1.1933853836710275
!,),1.2498373695348195
!,",",1.2457487226588018
!,.,1.2506209551015368
!,:,1.2153930432572786
!,;,1.206719295799037
!,?,1.1067177138406872
!,[,1.2551400558601349
!,],1.2103327687112988
!,§,1.2405608776730492
!,«,1.2244488148874992
!,»,1.2447090709098267
!,¬,1.0942329338490522
!,~,1.0995549347164626
!,!,1.0682234234468608
!,"""",1.0923803772209568
!,(,1.100731007637198
!,),1.0368056929680782
!,",",1.0731156910153146
!,.,1.0887615489302658
!,:,1.098794810082204
!,;,1.0962129413182036
!,?,1.046665786684915
!,[,1.0313850968834022
!,],1.0927270797291588
!,§,0.9942799180575558
!,«,1.0880367514864713
!,»,1.039003489868005
!,¬,1.0551120743537283
!,~,1.0517335655673434
!,!,1.315057103614475
!,"""",1.6918851649192903
!,(,1.3271291015064863
!,),1.3042920742073125
!,",",1.3143382162550221
!,.,1.315958338654655
!,:,1.3173936153558752
!,;,1.3148347783560232
!,?,1.330909207744179
!,[,1.2830819220965595
!,],1.4156959845830146
!,§,1.3155319564388728
!,«,1.416177356092167
!,»,1.3082518565053871
!,¬,1.3232758777618865
!,~,1.321859616314112
!,!,1.1643891467530878
!,"""",1.1318693545441636
!,(,1.1743391506839986
!,),1.1099749058916284
!,",",1.148964148176736
!,.,1.196278880517523
!,:,1.1686193604418953
!,;,1.1874829034828793
!,?,1.1612891710668334
!,[,1.108150384984169
!,],1.1637073204027066
!,§,1.0999431348272881
!,«,1.1665179730656887
!,»,1.1240271234279633
!,¬,1.1540933877780601
!,~,1.1654467444290395
!,!,1.03384392155017
!,"""",1.027781862840655
!,(,1.0280736856680892
!,),1.0271831018891586
!,",",1.0442963253252553
!,.,1.052615013679812
!,:,1.039642563095769
!,;,1.0516034381865227
!,?,1.0453922722189246
!,[,1.0451712748554005
!,],1.0414193533407041
!,§,1.0470911374314025
!,«,1.03373655421314
!,»,1.05431319864937
!,¬,1.0368443382123171
!,~,1.0342352917956235
!,!,1.4477373980602286
!,"""",1.445785899410202
!,(,1.4524259463525369
!,),1.5010904906456104
!,",",1.6039087341300897
!,.,1.4527982905325592
!,:,1.4643135551308868
!,;,1.4592477943494473
!,?,1.4458739972126438
!,[,1.2686223097010392
!,],1.4316337119803315
!,§,1.284560796594601
!,«,1.4316082906946888
!,»,1.4939509268986009
!,¬,1.1361724467293572
!,~,1.4897791704693433
!,!,1.110063607436768
!,"""",1.1733310657184348
!,(,1.1753982373804013
!,),1.1956765091889952
!,",",1.1966476592910522
!,.,1.1837695728923692
!,:,1.1829700183560563
!,;,1.1807048688268142
!,?,1.1050742029568976
!,[,1.2005581745682372
!,],1.20434715013534
!,§,1.1321976561041094
!,«,1.1626445119308597
!,»,1.19550332969763
!,¬,1.1039073655430551
!,~,1.112221978475737
!,!,1.032290585650173
!,"""",1.0883163955100046
!,(,1.0255373666444876
!,),1.1162119327312308
!,",",1.0414370723547461
!,.,1.0223495070348352
!,:,1.0303334989632922
!,;,1.0263616036892929
!,?,1.0294565586371809
!,[,1.104083733982461
!,],1.1068684680471836
!,§,1.0471856925999006
!,«,1.0815762635851105
!,»,1.0446435178161393
!,¬,1.0377658390604687
!,~,1.0608689902524486
!,!,1.2946479854493202
!,"""",1.1755943691082325
!,(,1.2733062636824364
!,),1.16682870250141
!,",",1.1675349471930199
!,.,1.1732243367415096
!,:,1.1740157514908354
!,;,1.1694846313316523
!,?,1.2887555481634902
!,[,1.1686935792144666
!,],1.2862041544535676
!,§,1.2469208781657088
!,«,1.2934817926146205
!,»,1.1691882695727045
!,¬,1.3003549752947876
!,~,1.2969575743861321
!,!,1.5959650882596772
!,"""",2.0791098592075032
!,(,2.241580292569522
!,),2.2899654859991094
!,",",1.656126498765622
!,.,2.060379443276975
!,:,2.3004869074637897
!,;,2.066937369639315
!,?,1.9620057849947965
!,[,2.210175838161254
!,],2.2250045181805636
!,§,2.2171558484993295
!,«,1.567690595726707
!,»,1.5760448407124488
!,¬,1.603247711145453
!,~,1.9771153966353943
!,!,1.670268040000745
!,"""",1.807355778729514
!,(,1.8412653789877413
!,),1.8283718561183209
!,",",1.8329893626794211
!,.,1.6879961553971121
!,:,1.824272328074553
!,;,1.7939108422041408
!,?,1.8189876303908437
!,[,1.8130903392727489
!,],1.7866096184051992
!,§,1.808119814898955
!,«,1.7971733848244256
!,»,1.8382755626485077
!,¬,1.7083696491505653
!,~,1.8445494041904409
!,!,1.3122806060593286
!,"""",1.2567180346952267
!,(,1.4624220403597048
!,),1.2139249207109453
!,",",0.9979984323087702
!,.,1.3098381946050484
!,:,1.2197838718464233
!,;,1.046459142854764
!,?,1.058251744556526
!,[,1.2713531394430986
!,],1.0951847695464563
!,§,1.2637690158523143
!,«,1.1273335526592
!,»,1.253275821911394
!,¬,1.0655495723432682
!,~,1.0624505829093647
!,!,0.8960083727138047
!,"""",0.6994888139805653
!,(,0.6665215572664159
!,),0.6528914934639156
!,",",0.6710539855384771
!,.,0.69856442174678
!,:,0.6559053187817759
!,;,0.7019458346604579
!,?,0.952069615533932
!,[,0.6561206959365785
!,],0.8057131846204625
!,§,0.6775011802662159
!,«,0.8980209621313443
!,»,0.6558693161062968
!,¬,0.8883279559553874
!,~,0.9767062574202624
!,!,1.0561288070494577
!,"""",1.0264577845300482
!,(,1.0383798294541455
!,),1.0381605915587515
!,",",1.035674590342423
!,.,1.0779983157460715
!,:,1.02570644075213
!,;,1.0135513258215436
!,?,1.034950673638912
!,[,1.0431397997995202
!,],1.0363337182500882
!,§,0.9992414343381621
!,«,1.0770943727635407
!,»,1.0751429557207244
!,¬,1.105848359560276
!,~,1.0986122981200377
!,!,1.3583855065868249
!,"""",1.3525134749434284
!,(,1.3427813216438158
!,),1.3572488747756584
!,",",1.373559931482563
!,.,1.3501782882585232
!,:,1.3511329752072918
!,;,1.3397394640016873
!,?,1.3602525036390756
!,[,1.3636767642857894
!,],1.3385282268419416
!,§,1.3790368100808554
