Original,Predict,Score
!,!,1.1131355752434966
!,"""",1.1530149218287153
!,(,1.1333556974143126
!,),1.1233752829983528
!,",",1.107175380448941
!,.,1.1082246668931808
!,:,1.1469716131187122
!,;,1.1032967898831048
!,?,1.126959021565545
!,[,1.1226099072941629
!,],1.1225496522232201
!,~,1.1205035254934468
!,§,1.1076810470726934
!,«,1.1119290681004272
!,¬,1.099295329631051
!,»,1.101552620331927
"""",!,1.0374217780391883
"""","""",1.0551656088424588
"""",(,1.033680447690594
"""",),1.058048669347874
"""",",",1.0569075399683974
"""",.,1.0419185253429215
"""",:,1.0426561757406199
"""",;,1.0210752367591094
"""",?,1.0306114608514259
"""",[,1.0631791850844368
"""",],1.0471440346616703
"""",~,1.428934689289524
"""",§,1.0549162707817457
"""",«,1.4684222496246466
"""",¬,1.0307461123143047
"""",»,1.0918923278828583
(,!,1.128179895291863
(,"""",1.0332066786456109
(,(,1.0473092066895664
(,),1.0111571755996067
(,",",0.9965785185042539
(,.,1.0656461886249207
(,:,1.0357727765789435
(,;,1.0372306554412436
(,?,1.1529156103282545
(,[,0.9993388665631736
(,],1.0025920859052926
(,~,1.1066103650452062
(,§,0.9720619244664992
(,«,1.0112045827649565
(,¬,1.1216729010466058
(,»,1.0180918021200223
),!,1.1836204263810475
),"""",1.1241244793202914
),(,1.1284049357319572
),),1.2164719517375346
),",",1.1192169190046894
),.,1.1261026002605454
),:,1.1227628865032626
),;,1.118090321315357
),?,1.2352903186037063
),[,1.1215065117303629
),],1.1131345171034235
),~,1.1185989233004727
),§,1.1098821303833328
),«,1.1370542038760354
),¬,1.1880442362107513
),»,1.1216750821568091
",",!,1.0655355438479612
",","""",1.0431752766383389
",",(,1.0350367234793258
",",),1.040905354295643
",",",",1.028742545495925
",",.,1.0443239922040048
",",:,1.0422494654333563
",",;,1.0472201685300209
",",?,1.0651879493655674
",",[,1.0361359034782665
",",],1.0701652723268746
",",~,1.0537072051851692
",",§,1.02782955318113
",",«,1.0631129610589172
",",¬,1.056012202468556
",",»,1.0327346043064347
.,!,1.0323662063970858
.,"""",1.0495305516206155
.,(,1.032478007656233
.,),1.0589761576807948
.,",",1.0372437703011974
.,.,1.0378866000235145
.,:,1.055346283155053
.,;,1.0428570310009573
.,?,1.0411941823428794
.,[,1.0463919757532163
.,],1.0436582828922252
.,~,1.0468702450078742
.,§,1.0712849229976134
.,«,1.0544616810025182
.,¬,1.0375599513658265
.,»,1.0484507764096824
:,!,1.1325582669661132
:,"""",1.1405551610741942
:,(,1.1667086001027027
:,),1.1023287406553557
:,",",1.113636375337887
:,.,1.1356997094615982
:,:,1.098399376764703
:,;,1.1410874340276806
:,?,1.1385405200062475
:,[,1.0901035706732294
:,],1.1569996447599402
:,~,1.1533310819921074
:,§,1.1418825722243575
:,«,1.0931696943681424
:,¬,1.1172434135959208
:,»,1.0985476832457919
;,!,1.0542366159088705
;,"""",1.0178216460689338
;,(,1.0132320854261223
;,),1.0225899190771714
;,",",1.0238601519678765
;,.,1.0159412951781184
;,:,1.0119947323184855
;,;,1.0196035984598701
;,?,1.0679568595486522
;,[,1.0229122974092244
;,],1.012273039281823
;,~,1.0149372123127407
;,§,1.0209901043715233
;,«,1.0085222623682306
;,¬,1.0518542671455076
;,»,1.0244239141584153
?,!,1.0187467682588793
?,"""",1.0432980663589355
?,(,1.0388066440589432
?,),1.0419676678265029
?,",",1.0482314709049367
?,.,1.0570605333192749
?,:,1.0357919782934786
?,;,1.0464553890746826
?,?,1.043122193215432
?,[,1.0476191030822706
?,],1.048248033804684
?,~,1.0410782328882626
?,§,1.031261919891534
?,«,1.0405490537742978
?,¬,1.0417603831023825
?,»,1.0574221140042313
[,!,0.9804647178246295
[,"""",1.0278175682298232
[,(,1.004843143643896
[,),1.0130234084289678
[,",",1.00765472416623
[,.,1.0033338791457422
[,:,0.9984074715651183
[,;,1.009531233778893
[,?,1.0816830378187101
[,[,1.0049272964182416
[,],1.0243112403090862
[,~,1.0415877718803908
[,§,0.9869966361184562
[,«,1.0100940334988164
[,¬,1.094745613993937
[,»,1.0086200848886282
],!,1.2648463347094958
],"""",1.5204857187191996
],(,1.5202975965098937
],),1.495266814896823
],",",1.4774952786010007
],.,1.469032676063775
],:,1.528978163568587
],;,1.5110645843976558
